Column_Data_00
    step      time[sec]       Fx[04]        Fy[04]        Fz[04]
      88   1.466667e+01   1.2254e-03   -2.0596e-08    0.0000e+00
      89   1.483333e+01   1.1463e-03   -1.7366e-08    0.0000e+00
      90   1.500000e+01   1.0471e-03   -1.4700e-08    0.0000e+00
      91   1.516667e+01   9.2940e-04   -1.5185e-08    0.0000e+00
      92   1.533333e+01   7.9656e-04   -1.0177e-08    0.0000e+00
      93   1.550000e+01   6.5284e-04   -2.1000e-09    0.0000e+00
      94   1.566667e+01   5.0316e-04   -6.1385e-09    0.0000e+00
      95   1.583333e+01   3.5274e-04    7.1078e-09    0.0000e+00
      96   1.600000e+01   2.0673e-04    1.1308e-09    0.0000e+00
      97   1.616667e+01   6.9917e-05    2.1000e-09    0.0000e+00
      98   1.633333e+01  -5.3451e-05    3.4731e-09    0.0000e+00
      99   1.650000e+01  -1.5993e-04    1.7204e-08    0.0000e+00
     100   1.666667e+01  -2.4688e-04    1.2035e-08    0.0000e+00
     101   1.683333e+01  -3.1268e-04    9.2078e-09    0.0000e+00
     102   1.700000e+01  -3.5665e-04    8.4001e-09    0.0000e+00
     103   1.716667e+01  -3.7888e-04    7.1885e-09    0.0000e+00
     104   1.733333e+01  -3.8059e-04    1.3973e-08    0.0000e+00
     105   1.750000e+01  -3.6344e-04    9.4501e-09    0.0000e+00
     106   1.766667e+01  -3.2998e-04    1.0500e-08    0.0000e+00
     107   1.783333e+01  -2.8300e-04    1.2358e-08    0.0000e+00
     108   1.800000e+01  -2.2540e-04    1.0258e-08    0.0000e+00
     109   1.816667e+01  -1.6002e-04    1.0500e-08    0.0000e+00
     110   1.833333e+01  -8.9594e-05    8.0366e-09    0.0000e+00
     111   1.850000e+01  -1.6534e-05    8.3597e-09    0.0000e+00
     112   1.866667e+01   5.7205e-05    7.7135e-09    0.0000e+00
     113   1.883333e+01   1.3014e-04    7.5116e-09    0.0000e+00
     114   1.900000e+01   2.0119e-04    7.2693e-09    0.0000e+00
     115   1.916667e+01   2.6973e-04    8.1780e-09    0.0000e+00
     116   1.933333e+01   3.3549e-04    8.0164e-09    0.0000e+00
     117   1.950000e+01   3.9840e-04    6.7645e-09    0.0000e+00
     118   1.966667e+01   4.5857e-04    6.1991e-09    0.0000e+00
     119   1.983333e+01   5.1612e-04    9.9145e-09    0.0000e+00
     120   2.000000e+01   5.7123e-04    1.0429e-08    0.0000e+00
     121   2.016667e+01   6.2387e-04    1.2408e-08    0.0000e+00
     122   2.033333e+01   6.7389e-04    1.2918e-08    0.0000e+00
     123   2.050000e+01   7.2092e-04    1.1706e-08    0.0000e+00
     124   2.066667e+01   7.6437e-04    1.1782e-08    0.0000e+00
     125   2.083333e+01   8.0351e-04    1.2681e-08    0.0000e+00
     126   2.100000e+01   8.3744e-04    1.3085e-08    0.0000e+00
     127   2.116667e+01   8.6512e-04    1.2701e-08    0.0000e+00
     128   2.133333e+01   8.8553e-04    1.3428e-08    0.0000e+00
     129   2.150000e+01   8.9767e-04    1.4862e-08    0.0000e+00
     130   2.166667e+01   9.0075e-04    1.4054e-08    0.0000e+00
     131   2.183333e+01   8.9401e-04    1.2398e-08    0.0000e+00
     132   2.200000e+01   8.7694e-04    1.3852e-08    0.0000e+00
     133   2.216667e+01   8.4929e-04    1.3650e-08    0.0000e+00
     134   2.233333e+01   8.1113e-04    1.4377e-08    0.0000e+00
     135   2.250000e+01   7.6277e-04    1.3489e-08    0.0000e+00
     136   2.266667e+01   7.0483e-04    1.1227e-08    0.0000e+00
     137   2.283333e+01   6.3822e-04    1.4700e-08    0.0000e+00
     138   2.300000e+01   5.6409e-04    1.3812e-08    0.0000e+00
     139   2.316667e+01   4.8377e-04    1.5831e-08    0.0000e+00
     140   2.333333e+01   3.9876e-04    1.4700e-08    0.0000e+00
     141   2.350000e+01   3.1063e-04    9.6924e-09    0.0000e+00
     142   2.366667e+01   2.2098e-04    1.1066e-08    0.0000e+00
     143   2.383333e+01   1.3142e-04    8.4809e-09    0.0000e+00
     144   2.400000e+01   4.3472e-05    1.1389e-08    0.0000e+00
     145   2.416667e+01  -4.1455e-05    7.8347e-09    0.0000e+00
     146   2.433333e+01  -1.2207e-04    9.6924e-09    0.0000e+00
     147   2.450000e+01  -1.9730e-04    8.2386e-09    0.0000e+00
     148   2.466667e+01  -2.6622e-04    8.5616e-09    0.0000e+00
     149   2.483333e+01  -3.2798e-04    7.6732e-09    0.0000e+00
     150   2.500000e+01  -3.8210e-04    6.2193e-09    0.0000e+00
     151   2.516667e+01  -4.2832e-04    3.3923e-09    0.0000e+00
     152   2.533333e+01  -4.6631e-04    5.5731e-09    0.0000e+00
     153   2.550000e+01  -4.9587e-04    5.4116e-09    0.0000e+00
     154   2.566667e+01  -5.1723e-04    4.3616e-09    0.0000e+00
     155   2.583333e+01  -5.3040e-04    1.0500e-08    0.0000e+00
     156   2.600000e+01  -5.3551e-04    4.5635e-09    0.0000e+00
     157   2.616667e+01  -5.3277e-04    9.6924e-09    0.0000e+00
     158   2.633333e+01  -5.2245e-04    4.1193e-09    0.0000e+00
     159   2.650000e+01  -5.0483e-04    9.6924e-09    0.0000e+00
     160   2.666667e+01  -4.8027e-04    1.0096e-08    0.0000e+00
     161   2.683333e+01  -4.4916e-04    8.8039e-09    0.0000e+00
     162   2.700000e+01  -4.1190e-04    4.8462e-09    0.0000e+00
     163   2.716667e+01  -3.6895e-04    8.1578e-09    0.0000e+00
     164   2.733333e+01  -3.2087e-04    7.5116e-09    0.0000e+00
     165   2.750000e+01  -2.6826e-04    7.2693e-09    0.0000e+00
     166   2.766667e+01  -2.1179e-04    5.9770e-09    0.0000e+00
     167   2.783333e+01  -1.5225e-04    1.0258e-08    0.0000e+00
     168   2.800000e+01  -9.0389e-05    3.2308e-09    0.0000e+00
     169   2.816667e+01  -2.7047e-05    5.4924e-09    0.0000e+00
     170   2.833333e+01   3.6865e-05    4.5231e-09    0.0000e+00
     171   2.850000e+01   1.0044e-04    5.7347e-09    0.0000e+00
     172   2.866667e+01   1.6274e-04    4.7654e-09    0.0000e+00
     173   2.883333e+01   2.2286e-04    4.2808e-09    0.0000e+00
     174   2.900000e+01   2.8001e-04    5.0077e-09    0.0000e+00
     175   2.916667e+01   3.3331e-04   -8.8847e-10    0.0000e+00
     176   2.933333e+01   3.8201e-04    1.6154e-10    0.0000e+00
     177   2.950000e+01   4.2553e-04   -2.7462e-09    0.0000e+00
     178   2.966667e+01   4.6332e-04    8.0770e-10    0.0000e+00
     179   2.983333e+01   4.9493e-04    1.7366e-09    0.0000e+00
     180   3.000000e+01   5.2009e-04    1.0096e-09    0.0000e+00
     181   3.016667e+01   5.3868e-04   -2.4231e-10    0.0000e+00
     182   3.033333e+01   5.5066e-04   -6.8655e-10    0.0000e+00
     183   3.050000e+01   5.5607e-04   -1.3731e-09    0.0000e+00
     184   3.066667e+01   5.5514e-04   -2.8270e-09    0.0000e+00
     185   3.083333e+01   5.4813e-04   -2.4635e-09    0.0000e+00
     186   3.100000e+01   5.3545e-04   -1.8577e-09    0.0000e+00
     187   3.116667e+01   5.1747e-04   -3.0693e-09    0.0000e+00
     188   3.133333e+01   4.9473e-04   -2.9279e-09    0.0000e+00
     189   3.150000e+01   4.6784e-04   -4.5635e-09    0.0000e+00
     190   3.166667e+01   4.3743e-04   -5.2904e-09    0.0000e+00
     191   3.183333e+01   4.0418e-04   -4.5635e-09    0.0000e+00
     192   3.200000e+01   3.6873e-04   -5.2198e-09    0.0000e+00
     193   3.216667e+01   3.3175e-04   -4.9674e-09    0.0000e+00
     194   3.233334e+01   2.9391e-04   -3.2485e-09    0.0000e+00
     195   3.250000e+01   2.5588e-04   -2.6263e-09    0.0000e+00
     196   3.266667e+01   2.1830e-04   -1.2620e-09    0.0000e+00
     197   3.283334e+01   1.8179e-04   -9.6924e-10    0.0000e+00
     198   3.300000e+01   1.4698e-04   -1.8779e-09    0.0000e+00
     199   3.316667e+01   1.1443e-04   -2.1202e-09    0.0000e+00
     200   3.333333e+01   8.4659e-05   -4.3414e-09    0.0000e+00
     201   3.350000e+01   5.8167e-05   -6.4818e-09    0.0000e+00
     202   3.366667e+01   3.5396e-05   -7.2693e-09    0.0000e+00
     203   3.383334e+01   1.6734e-05   -4.3616e-09    0.0000e+00
     204   3.400000e+01   2.5308e-06   -6.7847e-09    0.0000e+00
     205   3.416667e+01  -6.9539e-06   -6.9058e-09    0.0000e+00
     206   3.433334e+01  -1.1476e-05   -8.5616e-09    0.0000e+00
     207   3.450000e+01  -1.0942e-05   -5.5731e-09    0.0000e+00
     208   3.466667e+01  -5.2549e-06   -7.2693e-09    0.0000e+00
     209   3.483334e+01   5.5464e-06   -4.3616e-09    0.0000e+00
     210   3.500000e+01   2.1383e-05   -6.0578e-09    0.0000e+00
     211   3.516667e+01   4.2090e-05   -8.4809e-09    0.0000e+00
     212   3.533334e+01   6.7399e-05   -5.2501e-09    0.0000e+00
     213   3.550000e+01   9.6990e-05   -5.4924e-09    0.0000e+00
     214   3.566667e+01   1.3050e-04   -8.5616e-09    0.0000e+00
     215   3.583333e+01   1.6750e-04   -4.8462e-09    0.0000e+00
     216   3.600000e+01   2.0749e-04   -4.1193e-09    0.0000e+00
     217   3.616667e+01   2.4991e-04   -2.2616e-09    0.0000e+00
     218   3.633333e+01   2.9419e-04   -1.0500e-09    0.0000e+00
     219   3.650000e+01   3.3973e-04   -7.1078e-09    0.0000e+00
     220   3.666667e+01   3.8593e-04   -1.2196e-08    0.0000e+00
     221   3.683333e+01   4.3217e-04   -5.3308e-09    0.0000e+00
     222   3.700000e+01   4.7788e-04   -5.4116e-09    0.0000e+00
     223   3.716666e+01   5.2243e-04   -2.3423e-09    0.0000e+00
     224   3.733333e+01   5.6528e-04   -3.4731e-09    0.0000e+00
